Cooling scheme,"formula: T_current = T_begin * math.pow((T_end / T_begin), ((current_iteration * 1 ) / total_iterations))"
1,100.0
2,99.95395890030878
3,99.90793899844618
4,99.86194028465246
5,99.81596274917243
6,99.77000638225533
7,99.72407117415494
8,99.67815711512952
9,99.63226419544176
10,99.58639240535894
11,99.5405417351527
12,99.49471217509924
13,99.4489037154792
14,99.40311634657775
15,99.35735005868445
16,99.31160484209339
17,99.26588068710308
18,99.22017758401657
19,99.17449552314132
20,99.12883449478925
21,99.08319448927676
22,99.03757549692472
23,98.9919775080584
24,98.94640051300762
25,98.90084450210655
26,98.85530946569389
27,98.80979539411273
28,98.76430227771064
29,98.71883010683962
30,98.67337887185613
31,98.62794856312105
32,98.5825391709997
33,98.53715068586185
34,98.49178309808168
35,98.44643639803785
36,98.40111057611337
37,98.35580562269575
38,98.31052152817692
39,98.26525828295318
40,98.2200158774253
41,98.17479430199843
42,98.12959354708221
43,98.08441360309061
44,98.03925446044207
45,97.99411610955941
46,97.9489985408699
47,97.90390174480514
48,97.85882571180122
49,97.8137704322986
50,97.76873589674213
51,97.72372209558107
52,97.67872901926907
53,97.6337566582642
54,97.5888050030289
55,97.54387404402998
56,97.4989637717387
57,97.45407417663064
58,97.40920524918583
59,97.36435697988864
60,97.31952935922781
61,97.2747223776965
62,97.22993602579224
63,97.1851702940169
64,97.14042517287676
65,97.09570065288244
66,97.05099672454897
67,97.00631337839569
68,96.96165060494639
69,96.91700839472911
70,96.87238673827633
71,96.82778562612492
72,96.78320504881599
73,96.73864499689512
74,96.69410546091216
75,96.64958643142137
76,96.60508789898134
77,96.56060985415498
78,96.51615228750958
79,96.47171518961677
80,96.42729855105249
81,96.38290236239705
82,96.33852661423509
83,96.29417129715559
84,96.24983640175184
85,96.20552191862147
86,96.16122783836647
87,96.1169541515931
88,96.072700848912
89,96.02846792093813
90,95.9842553582907
91,95.94006315159331
92,95.89589129147387
93,95.85173976856458
94,95.80760857350198
95,95.76349769692688
96,95.71940712948445
97,95.67533686182412
98,95.63128688459966
99,95.58725718846914
100,95.54324776409489
101,95.4992586021436
102,95.45528969328622
103,95.41134102819798
104,95.36741259755847
105,95.32350439205149
106,95.27961640236519
107,95.23574861919198
108,95.19190103322853
109,95.14807363517586
110,95.10426641573922
111,95.06047936562815
112,95.01671247555647
113,94.97296573624229
114,94.92923913840797
115,94.88553267278013
116,94.84184633008972
117,94.79818010107189
118,94.75453397646609
119,94.71090794701604
120,94.6673020034697
121,94.6237161365793
122,94.58015033710133
123,94.53660459579652
124,94.49307890342989
125,94.44957325077065
126,94.40608762859235
127,94.36262202767269
128,94.31917643879368
129,94.27575085274155
130,94.2323452603068
131,94.18895965228413
132,94.14559401947251
133,94.10224835267512
134,94.05892264269939
135,94.01561688035697
136,93.97233105646379
137,93.92906516183992
138,93.88581918730972
139,93.84259312370179
140,93.79938696184887
141,93.75620069258802
142,93.71303430676046
143,93.66988779521162
144,93.62676114879118
145,93.583654358353
146,93.54056741475519
147,93.49750030886004
148,93.45445303153403
149,93.4114255736479
150,93.36841792607656
151,93.3254300796991
152,93.28246202539884
153,93.23951375406332
154,93.19658525658421
155,93.15367652385743
156,93.11078754678303
157,93.06791831626533
158,93.0250688232128
159,92.9822390585381
160,92.93942901315802
161,92.89663867799364
162,92.85386804397011
163,92.81111710201684
164,92.76838584306736
165,92.72567425805943
166,92.68298233793493
167,92.64031007363992
168,92.59765745612467
169,92.55502447634356
170,92.51241112525518
171,92.46981739382225
172,92.42724327301168
173,92.3846887537945
174,92.34215382714595
175,92.29963848404539
176,92.25714271547632
177,92.21466651242642
178,92.17220986588751
179,92.12977276685555
180,92.08735520633068
181,92.04495717531714
182,92.0025786648233
183,91.96021966586174
184,91.91788016944913
185,91.87556016660626
186,91.8332596483581
187,91.7909786057337
188,91.7487170297663
189,91.7064749114932
190,91.66425224195591
191,91.62204901219998
192,91.57986521327514
193,91.53770083623522
194,91.49555587213814
195,91.45343031204602
196,91.41132414702501
197,91.36923736814543
198,91.32716996648166
199,91.28512193311222
200,91.24309325911976
201,91.20108393559097
202,91.15909395361672
203,91.11712330429192
204,91.07517197871563
205,91.03323996799097
206,90.99132726322516
207,90.94943385552953
208,90.90755973601952
209,90.8657048958146
210,90.82386932603839
211,90.78205301781857
212,90.74025596228691
213,90.69847815057925
214,90.65671957383552
215,90.61498022319975
216,90.57326008982001
217,90.53155916484847
218,90.48987743944137
219,90.44821490475901
220,90.4065715519658
221,90.36494737223015
222,90.32334235672458
223,90.28175649662569
224,90.24018978311409
225,90.19864220737452
226,90.15711376059569
227,90.11560443397045
228,90.07411421869567
229,90.03264310597226
230,89.99119108700519
231,89.94975815300353
232,89.90834429518029
233,89.86694950475263
234,89.82557377294168
235,89.78421709097267
236,89.74287945007484
237,89.70156084148147
238,89.66026125642986
239,89.6189806861614
240,89.57771912192142
241,89.53647655495938
242,89.49525297652872
243,89.45404837788689
244,89.4128627502954
245,89.37169608501976
246,89.33054837332952
247,89.28941960649826
248,89.24830977580352
249,89.20721887252692
250,89.16614688795406
251,89.12509381337456
252,89.08405964008205
253,89.04304435937418
254,89.0020479625526
255,88.96107044092292
256,88.92011178579484
257,88.87917198848201
258,88.83825104030207
259,88.79734893257665
260,88.75646565663146
261,88.7156012037961
262,88.67475556540418
263,88.63392873279338
264,88.59312069730527
265,88.55233145028546
266,88.51156098308354
267,88.47080928705307
268,88.4300763535516
269,88.38936217394064
270,88.34866673958571
271,88.30799004185627
272,88.2673320721258
273,88.22669282177169
274,88.18607228217536
275,88.14547044472215
276,88.10488730080141
277,88.06432284180642
278,88.02377705913442
279,87.98324994418665
280,87.94274148836828
281,87.90225168308842
282,87.8617805197602
283,87.82132798980062
284,87.78089408463069
285,87.74047879567533
286,87.70008211436348
287,87.65970403212793
288,87.61934454040546
289,87.57900363063683
290,87.53868129426667
291,87.49837752274361
292,87.45809230752016
293,87.41782564005283
294,87.377577511802
295,87.33734791423201
296,87.29713683881116
297,87.25694427701163
298,87.21677022030954
299,87.17661466018495
300,87.13647758812183
301,87.09635899560807
302,87.05625887413547
303,87.0161772151998
304,86.97611401030065
305,86.93606925094163
306,86.89604292863018
307,86.85603503487769
308,86.81604556119945
309,86.77607449911464
310,86.73612184014638
311,86.69618757582165
312,86.6562716976714
313,86.61637419723039
314,86.57649506603732
315,86.53663429563481
316,86.49679187756932
317,86.45696780339127
318,86.41716206465492
319,86.3773746529184
320,86.3376055597438
321,86.29785477669702
322,86.25812229534792
323,86.21840810727014
324,86.17871220404129
