Cooling scheme,formula: T_current = T_begin - current_iteration * (T_begin - T_end) / total_iterations
399,96.0598
400,96.0499
401,96.04
402,96.0301
403,96.0202
404,96.0103
405,96.0004
406,95.9905
407,95.9806
408,95.9707
409,95.9608
410,95.9509
411,95.941
412,95.9311
413,95.9212
414,95.9113
415,95.9014
416,95.8915
417,95.8816
418,95.8717
419,95.8618
420,95.8519
421,95.842
422,95.8321
423,95.8222
424,95.8123
425,95.8024
426,95.7925
427,95.7826
428,95.7727
429,95.7628
430,95.7529
431,95.743
432,95.73310000000001
433,95.7232
434,95.7133
435,95.7034
436,95.6935
437,95.6836
438,95.6737
439,95.6638
440,95.6539
441,95.644
442,95.6341
443,95.6242
444,95.6143
445,95.6044
446,95.5945
447,95.5846
448,95.5747
449,95.5648
450,95.5549
451,95.545
452,95.5351
453,95.5252
454,95.5153
455,95.5054
456,95.49549999999999
457,95.4856
458,95.4757
459,95.4658
460,95.4559
461,95.446
462,95.4361
463,95.4262
464,95.4163
465,95.4064
466,95.3965
467,95.3866
468,95.3767
469,95.3668
470,95.3569
471,95.347
472,95.3371
473,95.3272
474,95.3173
475,95.3074
476,95.2975
477,95.2876
478,95.2777
479,95.2678
480,95.2579
481,95.248
482,95.2381
483,95.2282
484,95.2183
485,95.2084
486,95.1985
487,95.1886
488,95.1787
489,95.1688
490,95.1589
491,95.149
492,95.1391
493,95.1292
494,95.1193
495,95.1094
496,95.0995
497,95.0896
498,95.0797
499,95.0698
500,95.0599
501,95.05
502,95.0401
503,95.0302
504,95.0203
505,95.0104
506,95.0005
507,94.9906
508,94.9807
509,94.9708
510,94.9609
511,94.951
512,94.9411
513,94.9312
514,94.9213
515,94.9114
516,94.9015
517,94.8916
518,94.8817
519,94.87180000000001
520,94.8619
521,94.852
522,94.8421
523,94.8322
524,94.8223
525,94.8124
526,94.8025
527,94.7926
528,94.7827
529,94.7728
530,94.7629
531,94.753
532,94.7431
533,94.7332
534,94.7233
535,94.71340000000001
536,94.7035
537,94.6936
538,94.6837
539,94.6738
540,94.6639
541,94.654
542,94.6441
543,94.63419999999999
544,94.6243
545,94.6144
546,94.6045
547,94.5946
548,94.5847
549,94.5748
550,94.5649
551,94.555
552,94.5451
553,94.5352
554,94.5253
555,94.5154
556,94.5055
557,94.4956
558,94.4857
559,94.47579999999999
560,94.4659
561,94.456
562,94.4461
563,94.4362
564,94.4263
565,94.4164
566,94.4065
567,94.3966
568,94.3867
569,94.3768
570,94.3669
571,94.357
572,94.3471
573,94.3372
574,94.3273
575,94.3174
576,94.3075
577,94.2976
578,94.2877
579,94.2778
580,94.2679
581,94.258
582,94.2481
583,94.2382
584,94.2283
585,94.2184
586,94.2085
587,94.1986
588,94.1887
589,94.1788
590,94.1689
591,94.159
592,94.1491
593,94.1392
594,94.1293
595,94.1194
596,94.1095
597,94.0996
598,94.0897
599,94.0798
600,94.0699
601,94.06
602,94.0501
603,94.0402
604,94.0303
605,94.0204
606,94.01050000000001
607,94.0006
608,93.9907
609,93.9808
610,93.9709
611,93.961
612,93.9511
613,93.9412
614,93.9313
615,93.9214
616,93.9115
617,93.9016
618,93.8917
619,93.8818
620,93.8719
621,93.862
622,93.85210000000001
623,93.8422
624,93.8323
625,93.8224
626,93.8125
627,93.8026
628,93.7927
629,93.7828
630,93.77289999999999
631,93.763
632,93.7531
633,93.7432
634,93.7333
635,93.7234
636,93.7135
637,93.7036
638,93.6937
639,93.6838
640,93.6739
641,93.664
642,93.6541
643,93.6442
644,93.6343
645,93.6244
646,93.61449999999999
647,93.6046
648,93.5947
649,93.5848
650,93.5749
651,93.565
652,93.5551
653,93.5452
654,93.5353
655,93.5254
656,93.5155
657,93.5056
658,93.4957
659,93.4858
660,93.4759
661,93.466
662,93.4561
663,93.4462
664,93.4363
665,93.4264
666,93.4165
667,93.4066
668,93.3967
669,93.3868
670,93.3769
671,93.367
672,93.3571
673,93.3472
674,93.3373
675,93.3274
676,93.3175
677,93.3076
678,93.2977
679,93.2878
680,93.2779
681,93.268
682,93.2581
683,93.2482
684,93.2383
685,93.2284
686,93.2185
687,93.2086
688,93.1987
689,93.1888
690,93.1789
691,93.169
692,93.1591
693,93.14920000000001
694,93.1393
695,93.1294
696,93.1195
697,93.1096
698,93.0997
699,93.0898
700,93.0799
701,93.07
702,93.0601
703,93.0502
704,93.0403
705,93.0304
706,93.0205
707,93.0106
708,93.0007
709,92.99080000000001
710,92.9809
711,92.971
712,92.9611
713,92.9512
714,92.9413
715,92.9314
716,92.9215
717,92.91159999999999
718,92.9017
719,92.8918
720,92.8819
721,92.872
722,92.8621
723,92.8522
724,92.8423
725,92.8324
726,92.8225
727,92.8126
728,92.8027
729,92.7928
730,92.7829
731,92.773
732,92.7631
733,92.75319999999999
734,92.7433
735,92.7334
736,92.7235
737,92.7136
738,92.7037
739,92.6938
740,92.6839
741,92.674
742,92.6641
743,92.6542
744,92.6443
745,92.6344
746,92.6245
747,92.6146
748,92.6047
749,92.5948
750,92.5849
751,92.575
752,92.5651
753,92.5552
754,92.5453
755,92.5354
756,92.5255
757,92.5156
758,92.5057
759,92.4958
760,92.4859
761,92.476
762,92.4661
763,92.4562
764,92.4463
765,92.4364
766,92.4265
767,92.4166
768,92.4067
769,92.3968
770,92.3869
771,92.377
772,92.3671
773,92.3572
774,92.3473
775,92.3374
776,92.3275
777,92.3176
778,92.3077
779,92.2978
780,92.2879
781,92.278
782,92.2681
783,92.2582
784,92.2483
785,92.2384
786,92.2285
787,92.2186
788,92.2087
789,92.1988
790,92.1889
791,92.179
792,92.1691
793,92.1592
794,92.1493
795,92.1394
796,92.12950000000001
797,92.1196
798,92.1097
799,92.0998
800,92.0899
801,92.08
802,92.0701
803,92.0602
804,92.0503
805,92.0404
806,92.0305
807,92.0206
808,92.0107
809,92.0008
810,91.9909
811,91.981
812,91.9711
813,91.9612
814,91.9513
815,91.9414
816,91.9315
817,91.9216
818,91.9117
819,91.9018
820,91.89189999999999
821,91.882
822,91.8721
823,91.8622
824,91.8523
825,91.8424
826,91.8325
827,91.8226
828,91.8127
829,91.8028
830,91.7929
831,91.783
832,91.7731
833,91.7632
834,91.7533
835,91.7434
836,91.73349999999999
837,91.7236
838,91.7137
839,91.7038
840,91.6939
841,91.684
842,91.6741
843,91.6642
844,91.6543
845,91.6444
846,91.6345
847,91.6246
848,91.6147
849,91.6048
850,91.5949
851,91.58500000000001
852,91.5751
853,91.5652
854,91.5553
855,91.5454
856,91.5355
857,91.5256
858,91.5157
859,91.5058
860,91.4959
861,91.486
862,91.4761
863,91.4662
864,91.4563
865,91.4464
866,91.4365
867,91.42660000000001
868,91.4167
869,91.4068
870,91.3969
871,91.387
872,91.3771
873,91.3672
874,91.3573
875,91.3474
876,91.3375
877,91.3276
878,91.3177
879,91.3078
880,91.2979
881,91.288
882,91.2781
883,91.26820000000001
884,91.2583
885,91.2484
886,91.2385
887,91.2286
888,91.2187
889,91.2088
890,91.1989
891,91.189
892,91.1791
893,91.1692
894,91.1593
895,91.1494
896,91.1395
897,91.1296
898,91.1197
899,91.1098
900,91.0999
901,91.09
902,91.0801
903,91.0702
904,91.0603
905,91.0504
906,91.0405
907,91.03059999999999
908,91.0207
909,91.0108
910,91.0009
911,90.991
912,90.9811
913,90.9712
914,90.9613
915,90.9514
916,90.9415
917,90.9316
918,90.9217
919,90.9118
920,90.9019
921,90.892
922,90.8821
923,90.87219999999999
924,90.8623
925,90.8524
926,90.8425
927,90.8326
928,90.8227
929,90.8128
930,90.8029
931,90.793
932,90.7831
933,90.7732
934,90.7633
935,90.7534
936,90.7435
937,90.7336
938,90.7237
939,90.7138
940,90.7039
941,90.694
942,90.6841
943,90.6742
944,90.6643
945,90.6544
946,90.6445
947,90.6346
948,90.6247
949,90.6148
950,90.6049
951,90.595
952,90.5851
953,90.5752
954,90.56530000000001
955,90.5554
956,90.5455
957,90.5356
958,90.5257
959,90.5158
960,90.5059
961,90.496
962,90.4861
963,90.4762
964,90.4663
965,90.4564
966,90.4465
967,90.4366
968,90.4267
969,90.4168
970,90.40690000000001
971,90.397
972,90.3871
973,90.3772
974,90.3673
975,90.3574
976,90.3475
977,90.3376
978,90.3277
979,90.3178
980,90.3079
981,90.298
982,90.2881
983,90.2782
984,90.2683
985,90.2584
986,90.2485
987,90.2386
988,90.2287
989,90.2188
990,90.2089
991,90.199
992,90.1891
993,90.1792
994,90.16929999999999
995,90.1594
996,90.1495
997,90.1396
998,90.1297
999,90.1198
1000,90.1099
1001,90.1
1002,90.0901
1003,90.0802
1004,90.0703
1005,90.0604
1006,90.0505
1007,90.0406
1008,90.0307
1009,90.0208
1010,90.01089999999999
1011,90.001
1012,89.9911
1013,89.9812
1014,89.9713
1015,89.9614
1016,89.9515
1017,89.9416
1018,89.9317
1019,89.9218
1020,89.9119
1021,89.902
1022,89.8921
1023,89.8822
1024,89.8723
1025,89.8624
1026,89.85249999999999
1027,89.8426
1028,89.8327
1029,89.8228
1030,89.8129
1031,89.803
1032,89.7931
1033,89.7832
1034,89.7733
1035,89.7634
1036,89.7535
1037,89.7436
1038,89.7337
1039,89.7238
1040,89.7139
1041,89.70400000000001
1042,89.6941
1043,89.6842
1044,89.6743
1045,89.6644
1046,89.6545
1047,89.6446
1048,89.6347
1049,89.6248
1050,89.6149
1051,89.605
1052,89.5951
1053,89.5852
1054,89.5753
1055,89.5654
1056,89.5555
1057,89.54560000000001
1058,89.5357
1059,89.5258
1060,89.5159
1061,89.506
1062,89.4961
1063,89.4862
1064,89.4763
1065,89.4664
1066,89.4565
1067,89.4466
1068,89.4367
1069,89.4268
1070,89.4169
1071,89.407
1072,89.3971
1073,89.3872
1074,89.3773
1075,89.3674
1076,89.3575
1077,89.3476
1078,89.3377
1079,89.3278
1080,89.3179
1081,89.30799999999999
1082,89.2981
1083,89.2882
1084,89.2783
1085,89.2684
1086,89.2585
1087,89.2486
1088,89.2387
1089,89.2288
1090,89.2189
1091,89.209
1092,89.1991
1093,89.1892
1094,89.1793
1095,89.1694
1096,89.1595
1097,89.14959999999999
1098,89.1397
1099,89.1298
1100,89.1199
1101,89.11
1102,89.1001
1103,89.0902
1104,89.0803
1105,89.0704
1106,89.0605
1107,89.0506
1108,89.0407
1109,89.0308
1110,89.0209
1111,89.011
1112,89.0011
1113,88.99119999999999
1114,88.9813
1115,88.9714
1116,88.9615
1117,88.9516
1118,88.9417
1119,88.9318
1120,88.9219
1121,88.912
1122,88.9021
1123,88.8922
1124,88.8823
1125,88.8724
1126,88.8625
1127,88.8526
1128,88.84270000000001
1129,88.8328
1130,88.8229
1131,88.813
1132,88.8031
1133,88.7932
1134,88.7833
1135,88.7734
1136,88.7635
1137,88.7536
1138,88.7437
1139,88.7338
1140,88.7239
1141,88.714
1142,88.7041
1143,88.6942
1144,88.68430000000001
1145,88.6744
1146,88.6645
1147,88.6546
1148,88.6447
1149,88.6348
1150,88.6249
1151,88.615
1152,88.6051
1153,88.5952
1154,88.5853
1155,88.5754
1156,88.5655
1157,88.5556
1158,88.5457
1159,88.5358
1160,88.52590000000001
1161,88.516
1162,88.5061
1163,88.4962
1164,88.4863
1165,88.4764
1166,88.4665
1167,88.4566
1168,88.44669999999999
1169,88.4368
