Experiment: scoreverloop Hillclimber,"depthhillcimber, 3d, sequence 5, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
247,-17.325,1.15
248,-17.325,1.25
249,-17.325,1.675
250,-17.325,1.475
251,-17.325,1.65
252,-17.325,1.0
253,-17.325,0.8
254,-17.325,1.0
255,-17.325,1.725
256,-17.35,1.225
257,-17.35,1.45
258,-17.35,1.425
259,-17.375,1.3
260,-17.375,1.325
261,-17.375,0.925
262,-17.375,1.0
263,-17.4,1.5
264,-17.4,0.9
265,-17.45,1.675
266,-17.45,1.425
267,-17.45,1.375
268,-17.45,1.125
269,-17.45,0.875
270,-17.45,1.625
271,-17.5,1.4
272,-17.5,1.55
273,-17.5,1.475
274,-17.5,1.2
275,-17.5,0.95
276,-17.5,1.525
277,-17.5,1.025
278,-17.5,0.675
279,-17.5,1.25
280,-17.5,0.975
281,-17.5,1.3
282,-17.525,1.025
283,-17.525,1.525
284,-17.525,1.125
285,-17.525,1.575
286,-17.525,1.1
287,-17.525,0.75
288,-17.525,1.975
289,-17.525,1.4
290,-17.525,1.025
291,-17.525,1.45
292,-17.525,1.3
293,-17.675,1.775
294,-17.8,1.25
295,-17.8,1.65
296,-17.8,1.575
297,-17.8,1.4
298,-17.8,1.375
299,-17.8,1.65
300,-17.8,1.5
301,-17.875,1.425
302,-17.925,1.025
303,-17.925,1.05
304,-17.925,0.65
305,-17.925,1.625
306,-17.925,0.675
307,-17.925,1.525
308,-17.925,1.4
309,-17.925,1.325
310,-17.925,1.15
311,-17.925,1.1
312,-17.925,1.15
313,-17.925,1.1
314,-17.925,1.525
315,-17.95,1.675
316,-17.95,1.55
317,-17.95,1.125
318,-17.95,1.475
319,-17.95,1.5
320,-17.95,1.15
321,-17.95,1.5
322,-17.95,1.125
323,-17.95,2.05
324,-17.95,1.175
325,-17.95,1.575
326,-17.95,1.625
327,-17.95,1.775
328,-17.95,1.15
329,-17.95,1.4
330,-17.95,1.425
331,-18.075,1.2
332,-18.075,1.325
333,-18.075,1.1
334,-18.125,0.875
335,-18.125,1.375
336,-18.175,0.9
337,-18.175,1.05
338,-18.175,1.025
339,-18.175,1.325
340,-18.2,1.15
341,-18.2,1.2
342,-18.2,1.425
343,-18.225,1.275
344,-18.225,1.525
345,-18.225,1.4
346,-18.225,1.2
347,-18.225,1.75
348,-18.225,0.925
349,-18.225,1.075
350,-18.225,1.275
351,-18.225,1.025
352,-18.225,1.05
353,-18.225,1.575
354,-18.225,1.5
355,-18.225,1.925
356,-18.225,1.025
357,-18.225,1.875
358,-18.225,1.175
359,-18.225,1.0
360,-18.225,1.375
361,-18.225,1.7
362,-18.225,1.625
363,-18.225,1.6
364,-18.275,0.925
365,-18.275,1.85
366,-18.275,1.1
367,-18.275,1.55
368,-18.275,1.15
369,-18.325,1.3
370,-18.325,1.425
371,-18.325,1.025
372,-18.325,1.325
373,-18.325,1.05
374,-18.325,1.175
375,-18.325,1.375
