Experiment: changes in hillclimber:,"verbindingnummber, aantal_changed (straighthill, 3d, sequence: 4, it: 1000, in totaal 40 keer"
0,35.125
1,24.95
2,23.55
3,19.325
4,21.625
5,16.975
6,19.225
7,21.4
8,16.375
9,19.7
10,14.0
11,17.025
12,17.925
13,19.8
14,16.075
15,23.65
16,19.2
17,17.15
18,18.8
19,21.375
20,19.05
21,22.35
22,22.875
23,22.6
24,23.425
25,24.225
26,23.425
27,17.1
28,18.7
29,22.975
30,17.15
31,22.175
32,18.475
33,19.3
34,13.775
35,18.275
36,15.575
37,21.35
38,14.225
39,22.225
40,15.025
41,22.675
42,18.3
43,20.075
44,19.475
45,20.825
46,22.6
47,26.3
48,33.225
49,0.0
