Experiment: scoreverloop Hillclimber,"depthhillcimber, 3d, sequence 1, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
247,-6.4,0.925
248,-6.4,0.725
249,-6.4,1.2
250,-6.4,1.275
251,-6.4,1.25
252,-6.4,1.4
253,-6.4,0.75
254,-6.4,1.05
255,-6.4,1.1
256,-6.4,1.275
257,-6.4,0.95
258,-6.4,0.9
259,-6.4,1.0
260,-6.4,1.05
261,-6.4,1.1
262,-6.4,1.75
263,-6.4,0.825
264,-6.4,0.825
265,-6.4,1.15
266,-6.4,0.9
267,-6.4,0.95
268,-6.4,0.825
269,-6.4,0.9
270,-6.4,1.525
271,-6.4,1.35
272,-6.4,1.0
273,-6.4,0.5
274,-6.4,0.95
275,-6.4,1.025
276,-6.4,1.025
277,-6.4,1.175
278,-6.4,1.225
279,-6.4,1.375
280,-6.4,1.125
281,-6.4,0.8
282,-6.4,0.725
283,-6.4,0.925
284,-6.4,1.0
285,-6.4,0.825
286,-6.4,0.625
287,-6.4,1.5
288,-6.4,1.175
289,-6.4,1.175
290,-6.4,0.725
291,-6.4,0.875
292,-6.425,1.025
293,-6.425,1.375
294,-6.425,1.175
295,-6.425,0.95
296,-6.425,0.975
297,-6.425,0.95
298,-6.425,1.325
299,-6.425,0.725
300,-6.425,0.975
301,-6.425,1.125
302,-6.425,0.65
303,-6.425,0.8
304,-6.425,0.875
305,-6.425,0.725
306,-6.425,1.15
307,-6.425,1.35
308,-6.425,0.85
309,-6.425,0.8
310,-6.425,0.65
311,-6.425,0.825
312,-6.425,1.1
313,-6.425,0.6
314,-6.425,0.85
315,-6.425,0.8
316,-6.425,1.075
317,-6.425,0.875
318,-6.425,1.125
319,-6.425,0.55
320,-6.425,0.75
321,-6.425,1.05
322,-6.425,1.025
323,-6.425,1.275
324,-6.425,0.85
325,-6.425,0.975
326,-6.425,1.15
327,-6.425,0.9
328,-6.425,1.225
329,-6.425,0.95
330,-6.425,0.9
331,-6.425,1.225
332,-6.425,0.725
333,-6.425,0.975
334,-6.425,1.175
335,-6.425,1.0
336,-6.425,1.15
337,-6.425,0.95
338,-6.425,1.1
339,-6.425,1.3
340,-6.425,1.0
341,-6.425,1.1
342,-6.425,1.2
343,-6.425,0.975
344,-6.425,0.95
345,-6.425,1.05
346,-6.425,1.1
347,-6.425,0.575
348,-6.425,0.7
349,-6.425,0.775
350,-6.425,0.825
351,-6.425,0.825
352,-6.425,0.95
353,-6.425,0.95
354,-6.425,0.6
355,-6.425,0.8
356,-6.425,1.5
357,-6.425,0.85
358,-6.45,1.275
359,-6.45,0.825
360,-6.45,0.925
361,-6.45,0.625
362,-6.45,1.05
363,-6.45,1.15
364,-6.45,1.1
365,-6.45,1.125
366,-6.45,1.025
367,-6.45,1.225
368,-6.45,1.35
369,-6.45,0.725
370,-6.45,0.5
371,-6.45,0.7
372,-6.45,0.95
373,-6.45,1.125
374,-6.45,0.7
375,-6.45,1.275
376,-6.45,1.45
377,-6.45,1.325
378,-6.45,0.85
379,-6.45,0.925
380,-6.45,0.575
