Experiment: scoreverloop Hillclimber,"straighthillcimber, 3d, sequence 4, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
248,-11.875,1.675
249,-11.875,1.05
250,-11.95,1.35
251,-11.95,1.725
252,-12.025,1.5
253,-12.025,1.825
254,-12.025,1.425
255,-12.025,1.15
256,-12.025,1.6
257,-12.025,1.475
258,-12.1,1.625
259,-12.15,2.0
260,-12.175,2.325
261,-12.225,1.325
262,-12.275,2.4
263,-12.3,1.775
264,-12.3,1.375
265,-12.325,1.6
266,-12.375,2.375
267,-12.4,1.9
268,-12.5,1.725
269,-12.5,1.525
270,-12.525,2.275
271,-12.55,1.175
272,-12.575,1.575
273,-12.575,1.2
274,-12.625,1.875
275,-12.625,2.05
276,-12.7,1.575
277,-12.7,1.375
278,-12.7,2.025
279,-12.7,1.25
280,-12.7,1.825
281,-12.7,1.65
282,-12.725,1.325
283,-12.75,1.125
284,-12.775,1.85
285,-12.775,1.525
286,-12.925,1.7
287,-12.975,1.95
288,-13.0,1.975
289,-13.025,1.85
290,-13.025,2.1
291,-13.025,2.2
292,-13.025,1.0
293,-13.05,1.175
294,-13.05,1.65
295,-13.075,2.025
296,-13.075,1.9
297,-13.1,1.65
298,-13.1,1.775
299,-13.125,1.55
300,-13.175,1.875
301,-13.175,1.525
302,-13.175,1.5
303,-13.175,1.925
304,-13.2,1.325
305,-13.2,1.875
306,-13.2,1.95
307,-13.2,1.7
308,-13.225,1.7
309,-13.25,1.725
310,-13.325,2.225
311,-13.325,1.7
312,-13.325,2.175
313,-13.35,1.575
314,-13.35,1.7
315,-13.375,1.475
316,-13.375,1.95
317,-13.375,1.7
318,-13.425,1.825
319,-13.425,1.575
320,-13.45,1.35
321,-13.45,1.775
322,-13.45,1.85
323,-13.5,2.65
324,-13.5,1.275
325,-13.5,1.6
326,-13.5,1.45
327,-13.55,2.1
328,-13.55,1.825
329,-13.575,1.775
330,-13.575,2.475
331,-13.6,1.8
332,-13.6,1.95
333,-13.6,2.05
334,-13.625,1.75
335,-13.65,1.4
336,-13.7,1.55
337,-13.775,1.45
338,-13.775,2.05
339,-13.8,2.225
340,-13.825,1.95
341,-13.825,1.925
342,-13.875,1.825
343,-13.9,1.7
344,-13.925,1.275
