Experiment: scoreverloop Hillclimber,"straighthillcimber, 3d, sequence 7, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
248,-20.025,1.075
249,-20.05,1.85
250,-20.05,1.275
251,-20.075,1.775
252,-20.075,1.175
253,-20.1,1.8
254,-20.1,1.675
255,-20.125,1.5
256,-20.15,1.175
257,-20.225,1.475
258,-20.3,1.75
259,-20.3,1.25
260,-20.375,1.325
261,-20.425,1.175
262,-20.425,1.775
263,-20.475,1.125
264,-20.55,1.55
265,-20.55,1.65
266,-20.55,1.9
267,-20.575,1.15
268,-20.6,1.525
269,-20.675,1.1
270,-20.675,1.45
271,-20.775,2.125
272,-20.875,1.35
273,-20.925,1.475
274,-21.1,1.9
275,-21.1,1.55
276,-21.1,2.0
277,-21.2,1.75
278,-21.2,2.1
279,-21.2,1.6
280,-21.225,1.875
281,-21.225,1.875
282,-21.325,1.65
283,-21.325,1.95
284,-21.325,1.275
285,-21.325,1.7
286,-21.35,0.925
287,-21.35,3.15
288,-21.35,1.825
289,-21.35,1.575
290,-21.35,2.65
291,-21.35,1.4
292,-21.5,1.875
293,-21.575,1.225
294,-21.6,1.35
295,-21.625,1.425
296,-21.65,1.15
297,-21.75,1.925
298,-21.75,1.35
299,-21.75,2.025
300,-21.8,1.225
301,-21.85,1.975
302,-21.875,1.4
303,-21.875,1.575
304,-21.875,1.85
305,-21.875,1.725
306,-21.95,2.5
307,-21.975,1.8
308,-22.0,1.675
309,-22.0,1.25
310,-22.0,1.45
311,-22.025,1.175
312,-22.025,1.3
313,-22.05,2.075
314,-22.05,1.825
315,-22.075,1.975
316,-22.125,1.625
317,-22.125,1.3
318,-22.2,1.5
319,-22.3,1.525
320,-22.375,1.65
321,-22.375,1.75
322,-22.4,1.875
323,-22.4,2.275
324,-22.4,2.025
325,-22.4,2.05
326,-22.4,1.65
327,-22.4,1.65
328,-22.45,1.975
329,-22.45,1.825
330,-22.475,1.475
331,-22.475,2.05
332,-22.5,1.425
333,-22.5,1.925
334,-22.55,1.825
335,-22.55,1.275
336,-22.55,1.8
337,-22.55,2.15
338,-22.55,1.5
339,-22.65,1.725
340,-22.65,1.325
341,-22.725,2.225
342,-22.75,1.425
343,-22.75,1.925
344,-22.75,1.65
345,-22.75,1.975
346,-22.75,1.3
347,-22.75,0.9
348,-22.75,1.6
349,-22.75,1.85
350,-22.8,2.15
351,-22.8,2.05
352,-22.8,1.6
353,-22.8,1.95
354,-22.825,1.975
355,-22.85,0.85
356,-22.85,1.825
357,-22.85,1.575
358,-22.85,2.0
359,-22.85,1.85
360,-22.85,1.3
361,-22.85,2.0
362,-22.85,2.125
363,-22.85,1.275
364,-22.875,1.4
365,-22.875,1.65
366,-22.875,2.25
367,-22.9,1.775
368,-22.9,2.05
369,-22.9,1.75
370,-23.1,1.75
371,-23.1,1.475
372,-23.1,1.775
373,-23.1,1.825
374,-23.1,1.55
375,-23.1,1.4
376,-23.1,1.525
377,-23.1,2.725
378,-23.125,1.575
379,-23.125,1.9
380,-23.125,1.3
381,-23.125,2.475
382,-23.15,1.925
383,-23.15,1.475
384,-23.175,2.425
385,-23.175,1.625
386,-23.175,1.575
387,-23.175,1.625
388,-23.175,1.675
389,-23.175,1.375
390,-23.225,1.25
391,-23.25,1.1
392,-23.25,2.15
393,-23.275,1.375
394,-23.3,1.575
395,-23.3,1.825
396,-23.45,1.05
397,-23.45,1.4
398,-23.5,2.325
399,-23.5,1.975
400,-23.5,2.65
401,-23.5,1.6
402,-23.55,1.4
403,-23.6,1.625
404,-23.65,2.3
405,-23.65,1.775
406,-23.65,1.475
407,-23.65,1.9
408,-23.65,2.0
409,-23.65,1.325
410,-23.65,1.825
411,-23.65,1.5
412,-23.65,0.925
413,-23.675,1.45
414,-23.675,2.45
415,-23.7,1.9
416,-23.7,1.775
417,-23.7,1.475
418,-23.725,1.8
419,-23.725,2.0
420,-23.725,3.525
421,-23.725,1.95
422,-23.725,1.825
423,-23.75,2.425
424,-23.75,1.625
425,-23.75,1.95
426,-23.75,1.95
427,-23.75,2.075
428,-23.75,2.275
429,-23.8,1.925
430,-23.8,2.45
431,-23.8,2.175
432,-23.9,1.975
433,-23.9,2.275
434,-23.9,1.75
435,-23.95,1.975
436,-23.95,1.8
437,-23.95,1.55
438,-23.95,2.45
439,-23.95,1.7
440,-23.95,1.525
441,-23.95,1.9
442,-23.95,1.5
443,-23.95,1.65
444,-23.95,2.45
445,-23.95,2.275
446,-23.95,1.875
447,-23.975,1.375
448,-24.05,1.325
449,-24.075,1.675
450,-24.1,2.1
451,-24.1,1.6
452,-24.1,1.9
453,-24.1,2.1
454,-24.1,1.525
455,-24.15,1.125
456,-24.175,2.6
457,-24.175,2.1
458,-24.25,1.625
459,-24.275,1.425
460,-24.275,1.1
461,-24.275,2.1
462,-24.325,1.775
463,-24.325,2.05
464,-24.325,1.2
465,-24.325,1.8
466,-24.325,1.175
467,-24.45,2.4
468,-24.5,1.8
469,-24.5,2.025
470,-24.5,1.325
471,-24.5,2.225
472,-24.5,2.3
473,-24.525,1.65
474,-24.55,1.875
475,-24.55,1.7
476,-24.575,2.65
477,-24.575,2.45
478,-24.625,2.05
479,-24.625,2.15
480,-24.65,2.15
481,-24.65,1.75
482,-24.65,2.5
483,-24.65,2.15
484,-24.675,1.325
485,-24.675,2.225
486,-24.675,2.125
487,-24.675,1.75
488,-24.675,1.225
489,-24.675,2.4
490,-24.675,1.675
491,-24.7,1.975
492,-24.7,1.925
493,-24.7,2.175
494,-24.725,1.925
495,-24.725,1.825
496,-24.725,1.65
497,-24.725,2.5
498,-24.725,1.575
499,-24.725,1.45
500,-24.775,2.1
501,-24.825,1.8
502,-24.825,2.025
503,-24.9,1.825
504,-24.9,1.75
505,-24.9,1.7
506,-24.9,2.15
507,-24.925,1.8
508,-24.925,2.2
509,-24.925,2.075
510,-24.925,1.8
511,-24.975,1.925
512,-24.975,2.35
513,-24.975,1.675
514,-25.0,1.425
515,-25.15,1.65
516,-25.15,1.85
517,-25.15,1.675
518,-25.15,1.925
519,-25.15,1.925
520,-25.15,3.1
521,-25.15,2.25
522,-25.15,2.55
523,-25.15,1.925
524,-25.175,1.4
525,-25.175,2.0
526,-25.175,1.55
527,-25.175,2.2
528,-25.175,2.5
529,-25.175,2.725
530,-25.175,1.725
531,-25.175,1.825
532,-25.2,2.175
533,-25.2,1.4
534,-25.225,1.675
535,-25.225,2.8
536,-25.225,1.85
537,-25.225,2.275
538,-25.225,1.825
539,-25.225,1.375
540,-25.225,2.075
541,-25.225,1.725
542,-25.3,1.625
543,-25.3,2.05
544,-25.3,2.025
545,-25.3,1.95
546,-25.3,1.65
547,-25.3,2.9
548,-25.325,2.8
549,-25.325,1.5
550,-25.325,2.275
551,-25.325,2.85
552,-25.325,1.675
553,-25.325,1.825
554,-25.325,1.75
555,-25.325,1.95
556,-25.325,1.9
557,-25.325,2.125
558,-25.375,1.575
559,-25.375,1.9
560,-25.375,2.275
561,-25.4,1.725
562,-25.4,2.625
563,-25.4,1.575
564,-25.4,2.1
565,-25.4,1.65
566,-25.4,2.05
567,-25.4,1.55
568,-25.4,1.65
569,-25.4,1.75
570,-25.4,1.475
571,-25.4,2.5
572,-25.425,1.425
573,-25.425,2.175
574,-25.425,2.375
575,-25.425,1.675
576,-25.425,1.35
577,-25.425,1.475
578,-25.425,2.3
579,-25.45,2.15
580,-25.475,2.375
581,-25.475,1.475
582,-25.475,1.55
583,-25.5,1.175
584,-25.5,2.125
585,-25.525,3.3
586,-25.525,1.85
587,-25.525,2.25
588,-25.525,1.625
589,-25.525,1.925
590,-25.525,1.375
591,-25.525,1.925
592,-25.525,1.425
593,-25.525,1.95
594,-25.525,1.675
595,-25.525,3.2
596,-25.525,1.525
597,-25.525,1.6
598,-25.525,2.475
599,-25.525,2.0
600,-25.525,2.85
601,-25.525,1.85
602,-25.55,2.025
603,-25.55,1.4
604,-25.55,2.5
605,-25.55,2.325
606,-25.55,1.425
607,-25.55,1.7
608,-25.55,1.525
609,-25.55,2.175
610,-25.55,3.325
611,-25.55,2.175
612,-25.55,1.75
613,-25.55,2.025
614,-25.55,2.675
615,-25.55,2.2
616,-25.55,2.0
617,-25.55,2.05
618,-25.55,2.575
619,-25.55,1.95
620,-25.55,2.425
621,-25.55,2.55
622,-25.6,1.95
623,-25.6,2.15
624,-25.6,1.775
625,-25.6,0.925
626,-25.6,2.4
627,-25.6,1.5
628,-25.6,2.625
629,-25.6,2.2
630,-25.6,1.575
631,-25.6,2.65
632,-25.6,2.025
633,-25.625,1.825
634,-25.625,2.125
635,-25.625,2.225
636,-25.625,1.75
637,-25.625,1.9
638,-25.625,2.15
639,-25.625,2.85
640,-25.65,2.275
641,-25.65,1.825
642,-25.65,1.175
643,-25.65,1.725
644,-25.65,2.225
645,-25.75,2.825
646,-25.75,1.9
