Experiment: scoreverloop Hillclimber,"randomhillcimber, 3d, sequence 7, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
247,-21.125,2.425
248,-21.175,1.775
249,-21.175,1.7
250,-21.175,1.75
251,-21.175,2.025
252,-21.225,1.6
253,-21.225,2.5
254,-21.25,1.85
255,-21.25,1.65
256,-21.25,2.525
257,-21.25,2.3
258,-21.25,1.65
259,-21.25,2.35
260,-21.25,2.175
261,-21.25,1.925
262,-21.25,1.75
263,-21.25,1.55
264,-21.275,2.375
265,-21.3,1.875
266,-21.375,1.75
267,-21.375,1.45
268,-21.375,1.675
269,-21.375,2.025
270,-21.375,2.325
271,-21.375,2.1
272,-21.375,1.625
273,-21.4,1.575
274,-21.45,1.7
275,-21.55,1.85
276,-21.55,2.275
277,-21.575,2.1
278,-21.6,1.3
279,-21.625,1.55
280,-21.625,1.675
281,-21.625,2.6
282,-21.625,1.4
283,-21.625,1.875
284,-21.625,1.5
285,-21.625,2.375
286,-21.65,2.225
287,-21.65,1.625
288,-21.65,1.9
289,-21.65,2.825
290,-21.65,2.425
291,-21.65,1.625
292,-21.65,2.8
293,-21.65,1.8
294,-21.65,1.725
295,-21.675,2.05
296,-21.675,2.425
297,-21.675,1.95
298,-21.675,1.55
299,-21.675,2.3
300,-21.675,2.175
301,-21.675,1.6
302,-21.675,2.3
303,-21.675,1.525
304,-21.7,1.95
305,-21.725,2.475
306,-21.725,1.9
307,-21.775,1.675
308,-21.775,1.625
309,-21.775,2.25
310,-21.775,2.325
311,-21.775,2.175
312,-21.8,2.575
313,-21.8,2.725
314,-21.8,1.675
315,-21.8,1.8
316,-21.8,2.125
317,-21.825,2.425
318,-21.825,1.45
319,-21.825,1.525
320,-21.85,1.975
321,-21.85,1.8
322,-21.875,2.025
323,-21.875,2.075
324,-21.875,2.1
325,-21.9,1.925
326,-21.9,1.825
327,-21.925,1.45
328,-21.95,1.675
329,-22.05,1.4
330,-22.05,1.525
331,-22.075,2.25
332,-22.075,1.275
333,-22.075,3.075
334,-22.075,2.75
335,-22.075,2.2
336,-22.075,2.4
337,-22.075,1.95
338,-22.175,2.325
339,-22.175,2.075
340,-22.175,1.975
341,-22.175,1.725
342,-22.2,1.6
343,-22.2,1.575
344,-22.25,1.875
345,-22.35,2.45
346,-22.35,1.6
347,-22.375,1.825
348,-22.375,1.825
349,-22.375,1.575
350,-22.45,2.475
351,-22.475,1.95
352,-22.475,2.175
353,-22.475,2.0
354,-22.475,1.425
355,-22.475,2.275
356,-22.475,1.825
357,-22.475,2.2
358,-22.475,2.625
359,-22.475,2.225
360,-22.475,2.0
361,-22.5,2.125
362,-22.525,2.325
363,-22.525,2.75
364,-22.525,2.475
365,-22.525,1.875
366,-22.525,2.475
367,-22.525,2.025
368,-22.525,2.525
369,-22.55,2.2
370,-22.55,1.95
371,-22.55,1.8
372,-22.55,2.2
373,-22.6,1.675
374,-22.6,1.95
375,-22.6,2.55
376,-22.6,2.0
377,-22.6,1.725
378,-22.6,1.925
379,-22.6,1.725
380,-22.6,1.95
381,-22.6,2.525
382,-22.625,1.875
383,-22.65,1.9
384,-22.65,2.225
385,-22.65,2.65
386,-22.65,2.2
387,-22.65,2.65
388,-22.65,2.0
389,-22.65,1.925
390,-22.65,2.15
391,-22.65,2.35
392,-22.675,1.95
393,-22.725,2.425
394,-22.85,2.075
395,-22.85,1.6
396,-22.875,2.025
397,-22.925,2.125
398,-22.925,1.6
399,-22.925,2.075
400,-22.925,2.375
401,-22.925,1.95
402,-22.95,1.875
403,-22.95,1.9
404,-22.95,1.3
405,-22.95,1.9
406,-22.95,2.55
407,-22.95,2.7
408,-22.95,1.9
409,-22.95,1.675
410,-22.95,2.05
411,-22.95,2.1
412,-22.95,2.175
413,-22.95,1.75
414,-22.975,1.575
415,-22.975,1.8
416,-22.975,1.675
417,-23.0,1.775
418,-23.0,1.975
419,-23.0,3.075
420,-23.025,2.15
421,-23.025,2.175
422,-23.025,1.725
423,-23.025,2.575
424,-23.025,1.975
425,-23.025,2.3
426,-23.025,2.525
427,-23.025,2.05
428,-23.025,1.725
429,-23.025,2.35
430,-23.025,1.5
431,-23.025,2.5
432,-23.05,1.675
433,-23.075,2.225
434,-23.075,2.075
435,-23.075,2.625
436,-23.075,2.775
437,-23.075,1.95
438,-23.075,1.8
439,-23.075,2.1
440,-23.075,1.45
441,-23.075,2.3
442,-23.075,1.2
443,-23.075,2.475
444,-23.075,2.6
445,-23.175,4.0
446,-23.175,2.75
447,-23.175,2.05
448,-23.175,2.175
449,-23.175,2.0
450,-23.175,1.875
451,-23.175,2.35
452,-23.175,1.725
453,-23.2,1.65
454,-23.2,2.275
455,-23.2,1.45
456,-23.225,2.175
457,-23.25,1.825
458,-23.3,1.45
459,-23.3,1.85
460,-23.3,1.25
461,-23.3,1.8
462,-23.3,1.85
463,-23.3,1.675
464,-23.35,2.55
465,-23.35,1.575
466,-23.4,1.825
467,-23.4,2.225
468,-23.4,1.625
469,-23.4,2.4
470,-23.4,2.025
471,-23.4,2.025
472,-23.45,1.8
473,-23.45,1.975
474,-23.45,2.625
475,-23.45,1.75
476,-23.45,2.0
477,-23.45,1.35
478,-23.45,2.075
479,-23.45,2.25
480,-23.45,2.375
481,-23.45,2.325
482,-23.45,2.2
483,-23.475,1.95
484,-23.475,2.625
485,-23.475,1.875
486,-23.65,2.8
