Experiment: changes in hillclimber:,"verbindingnummber, aantal_changed (randomhill, 3d, sequence: 1, it: 1000, in totaal 40 keer"
0,4201
1,3469
2,3085
3,2368
4,2976
5,2648
6,2554
7,2651
8,2791
9,2494
10,2989
11,2921
12,4893
13,0
