Experiment: cooling schedule exponentieel 2,"straight simulatedannealing, 2d, sequence 1, it: 10000, gemiddelde van 40 keer, formule: T_current = T_begin * math.pow((T_end / T_begin), ((current_iteration * 2 ) / total_iterations))"
0,0.0
1,0.0
2,-0.025
3,-0.025
4,-0.025
5,-0.05
6,-0.05
7,-0.1
8,-0.2
9,-0.175
10,-0.2
11,-0.2
12,-0.175
13,-0.225
14,-0.275
15,-0.325
16,-0.35
17,-0.325
18,-0.4
19,-0.45
20,-0.5
21,-0.45
22,-0.4
23,-0.325
24,-0.4
25,-0.475
26,-0.55
27,-0.6
28,-0.775
29,-0.7
30,-0.85
31,-0.7
32,-0.675
33,-0.65
34,-0.75
35,-0.725
36,-0.6
37,-0.6
38,-0.525
39,-0.6
40,-0.525
41,-0.675
42,-0.825
43,-0.85
44,-0.825
45,-0.8
46,-0.8
47,-0.875
48,-0.725
49,-0.775
50,-0.8
51,-0.775
52,-0.85
53,-0.8
54,-0.875
55,-0.825
56,-0.675
57,-0.7
58,-0.625
59,-0.775
60,-0.9
61,-0.9
62,-0.85
63,-0.825
64,-1.075
65,-0.975
66,-0.7
67,-0.675
68,-0.825
69,-0.7
70,-0.75
71,-0.875
72,-0.9
73,-0.95
74,-1.05
75,-0.825
76,-0.925
77,-0.975
78,-0.95
79,-0.9
80,-0.9
81,-0.725
82,-0.7
83,-0.825
84,-0.85
85,-0.7
86,-0.65
87,-0.7
88,-0.7
89,-0.65
90,-0.625
91,-0.65
92,-0.925
93,-0.825
94,-0.675
95,-0.725
96,-0.825
97,-0.825
98,-0.8
99,-0.725
100,-0.75
101,-0.7
102,-0.6
103,-0.525
104,-0.75
105,-0.8
106,-0.925
107,-0.7
108,-0.775
109,-0.625
110,-0.6
111,-0.675
112,-0.55
113,-0.6
114,-0.625
115,-0.725
116,-0.675
117,-0.625
118,-0.725
119,-0.7
120,-0.7
121,-0.75
122,-0.725
123,-0.75
124,-0.825
125,-0.7
126,-0.675
127,-0.65
128,-0.65
129,-0.625
130,-0.65
131,-0.675
132,-0.8
133,-0.85
134,-0.6
135,-0.625
136,-0.55
137,-0.55
138,-0.65
139,-0.75
140,-0.675
141,-0.825
142,-0.75
143,-0.625
144,-0.725
145,-0.725
146,-0.7
147,-0.675
148,-0.7
149,-0.7
150,-0.675
151,-0.7
152,-0.925
153,-0.95
154,-0.925
155,-0.95
156,-0.775
157,-0.8
158,-0.75
159,-0.725
160,-0.725
161,-0.625
162,-0.725
163,-0.775
164,-0.725
165,-0.65
166,-0.625
167,-0.525
168,-0.525
169,-0.575
170,-0.6
171,-0.725
172,-0.7
173,-0.725
174,-0.625
175,-0.6
176,-0.475
177,-0.725
178,-0.725
179,-0.825
180,-0.8
181,-0.725
182,-0.775
183,-0.625
184,-0.7
185,-0.65
186,-0.8
187,-1.0
188,-0.8
189,-0.8
190,-0.75
191,-0.85
192,-0.85
193,-0.85
194,-0.825
195,-0.8
196,-0.575
197,-0.725
198,-0.775
199,-0.775
200,-0.625
201,-0.75
202,-0.75
203,-0.875
204,-0.725
205,-0.825
206,-0.7
207,-0.75
208,-0.825
209,-0.9
210,-1.15
211,-1.0
212,-0.65
213,-0.85
214,-0.85
215,-0.925
216,-1.175
217,-1.025
218,-0.825
219,-0.8
220,-0.8
221,-1.025
222,-1.1
223,-1.15
224,-1.2
225,-1.025
226,-0.975
227,-0.875
228,-0.8
229,-0.9
230,-0.85
231,-0.925
232,-0.825
233,-1.025
234,-0.9
235,-1.0
236,-0.75
237,-0.975
238,-0.825
239,-0.775
240,-0.975
241,-0.95
242,-0.9
243,-0.925
244,-0.75
245,-0.825
246,-0.7
247,-0.675
248,-0.65
249,-0.725
250,-0.575
251,-0.7
252,-0.65
253,-0.625
254,-0.5
255,-0.725
256,-0.775
257,-0.65
258,-0.65
259,-0.55
260,-0.5
261,-0.45
262,-0.475
263,-0.55
264,-0.475
265,-0.475
266,-0.675
267,-0.65
268,-0.55
269,-0.525
270,-0.675
271,-0.75
272,-0.625
273,-0.625
274,-0.625
275,-0.55
276,-0.825
277,-0.725
278,-0.825
279,-0.825
280,-0.925
281,-0.95
282,-0.8
283,-0.925
284,-1.025
285,-0.95
286,-1.025
287,-0.9
288,-1.075
289,-1.05
290,-0.85
291,-1.0
292,-0.825
293,-1.0
294,-0.8
295,-0.85
296,-0.75
297,-0.825
298,-0.8
299,-0.65
300,-0.65
301,-0.7
302,-0.725
303,-0.925
304,-0.825
305,-0.925
306,-0.8
307,-0.9
308,-0.775
309,-0.725
310,-0.65
311,-0.55
312,-0.7
313,-0.65
314,-0.75
315,-0.8
316,-0.95
317,-0.775
318,-0.8
319,-0.75
320,-0.75
321,-0.725
322,-0.775
323,-0.7
324,-0.8
325,-0.8
326,-0.8
327,-0.875
328,-1.05
329,-0.975
330,-0.825
331,-0.725
332,-0.9
333,-0.775
334,-0.775
335,-0.9
336,-0.75
337,-0.675
338,-0.55
339,-0.6
340,-0.575
341,-0.525
342,-0.55
343,-0.725
344,-0.675
345,-0.625
346,-0.6
347,-0.675
348,-0.85
349,-0.875
350,-0.85
351,-0.625
352,-0.675
353,-0.7
354,-0.825
355,-0.725
356,-0.85
357,-0.8
358,-0.7
359,-0.7
360,-0.675
361,-0.7
362,-0.65
363,-0.825
364,-0.95
365,-0.8
366,-1.0
367,-0.825
368,-0.85
369,-0.925
370,-1.025
371,-1.025
372,-1.025
373,-1.025
374,-0.825
375,-0.725
376,-0.75
377,-0.6
378,-0.75
379,-0.85
380,-0.95
381,-0.75
382,-0.95
383,-1.0
384,-1.075
385,-1.075
386,-1.1
387,-0.85
388,-0.9
389,-0.775
390,-0.7
391,-0.925
392,-0.875
393,-0.85
394,-0.925
395,-0.775
396,-0.8
397,-0.6
398,-0.55
399,-0.575
400,-0.5
401,-0.525
402,-0.825
403,-0.85
404,-0.75
405,-0.7
406,-0.65
407,-0.85
408,-0.775
409,-0.875
410,-0.85
411,-0.775
412,-0.65
413,-0.775
414,-0.65
415,-0.7
416,-0.775
417,-0.9
418,-0.75
419,-0.825
420,-0.8
421,-0.975
422,-1.075
423,-0.975
424,-1.1
425,-1.1
426,-1.075
427,-0.825
428,-0.875
429,-1.05
430,-0.9
431,-1.025
432,-1.0
433,-1.0
434,-1.1
435,-1.025
436,-0.875
437,-0.95
438,-0.95
439,-0.825
440,-0.675
441,-0.625
442,-0.725
443,-0.725
444,-0.8
445,-0.775
446,-0.9
447,-0.85
448,-1.0
449,-0.8
450,-0.775
451,-1.0
452,-1.175
453,-1.0
454,-1.025
455,-1.075
456,-1.05
457,-1.175
458,-0.95
459,-0.875
460,-0.85
461,-1.025
462,-0.725
463,-0.675
464,-0.725
465,-0.85
466,-0.7
467,-0.65
468,-0.825
469,-0.775
470,-0.775
471,-0.85
472,-0.9
473,-0.75
474,-0.825
475,-1.075
